"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10571","travel-normal-flow","Desktop - Microsoft Edge","Tue May 27 04:53:59 UTC 2025","passed","Tue May 27 04:54:10 UTC 2025","","main-web/travel/travel-normal-flow.spec.ts","",""
"","1086","travel-normal-flow","Mobile Chrome","Tue May 27 04:53:43 UTC 2025","passed","Tue May 27 04:53:45 UTC 2025","","main-web/travel/travel-normal-flow.spec.ts","",""
"","3888","travel-normal-flow","Desktop - Google Chrome","Tue May 27 04:53:31 UTC 2025","passed","Tue May 27 04:53:35 UTC 2025","","main-web/travel/travel-normal-flow.spec.ts","",""
"","1810","travel-normal-flow","Desktop - safari","Tue May 27 04:53:56 UTC 2025","passed","Tue May 27 04:53:58 UTC 2025","","main-web/travel/travel-normal-flow.spec.ts","",""
"","6118","travel-normal-flow","Mobile Safari","Tue May 27 04:53:45 UTC 2025","passed","Tue May 27 04:53:52 UTC 2025","","main-web/travel/travel-normal-flow.spec.ts","",""
"","4561","travel-normal-flow","Desktop - firefox","Tue May 27 04:54:30 UTC 2025","passed","Tue May 27 04:54:34 UTC 2025","","main-web/travel/travel-normal-flow.spec.ts","",""
"","1034","travel-normal-flow","Desktop - chromium","Tue May 27 04:53:54 UTC 2025","passed","Tue May 27 04:53:55 UTC 2025","","main-web/travel/travel-normal-flow.spec.ts","",""
